"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"teliospores clavate-ellipsoid, golden brown to chestnut brown, 12-14 x 22-33 µm;","Puccinia sporoboli-arabici_444828_24366","teliospores","12-14 x 22-33",13,27.5,NA
"teliospores in 2-4 indistinct 'layers', densely and irregularly aggregated and wedged among each other, cylindrical to subrhomboid or irregularly shaped due to mutual pressure, 14-23-8-11 µm","Phakopsora dissotidis_445299_24968","teliospores","14-23-8-11",15.5,NA,NA
"teliospores one-celled, sessile, irregularly and densely aggregated to 5-7 'layers', broadly ellipsoid, ellipsoid or irregularly subrhomboid, 16-25-8-12 µm","Phakopsora melhaniae_445300_24972","teliospores","16-25-8-12",16.5,NA,NA
"teliospores one-celled, sessile, irregularly arranged and densely aggregated, spore ""chains"" with 4-6(8) spores, spores irregularly shaped, subcylindrical, broadly ellipsoid, wedge-shaped or diamond-shaped, 18-31-12-17 µm","Phakopsora merremiae_445301_24980","teliospores","18-31-12-17",21.5,NA,NA
"Teliospores sessile on meristematic basal cells, broadly ellipsoid, ellipsoid or subcuneate, apically rounded, broadly conical or subtruncate, tapering towards the hilum, 28-45-14-20 µm","Chaconia hennenii_445352_25040","Teliospores","28-45-14-20",29.5,NA,NA
"Teliospores globose, subglobose, ovoid, ellipsoidal, irregularly rounded subpolyhedral, often with a flattened side, to elongated, rarely with a subacute tip, medium reddish-brown, close to chestnut (40, Rayner 1970), 18.5-31 x 15-28 µm,","Tilletia puccinelliae_451179_26347","Teliospores","1970)18.5-31 x 15-28",18.5,21.5,NA
"teliospores but a few tiny sori bearing only teliospores also develop. No pycnia were found on leaf lesions. The infected leaf rachis, normally up to 1mm diam., is swollen to 2mm, with several small raised lesions 4-6 x 2mm. In some cases, where larger lesions up to 20mm long are present, the rachis is bent to varying degrees (Fig. 2D), or distorted into a loop (Fig. 2A). On branches, infection begins as slightly raised, brown, elliptical lesions 1.5-3 x 1-2 mm. These develop into raised, oval to elongated galls along one side of the branch, ranging from 5-15 x 3-6mm and 2mm high on thinner (2-4mm) branches, to large elongated oval galls 18-55 x 8-15mm, raised 3 (-4)mm above the general branch surface (Fig. 2 B, D, E). Considerable distortion and twisting may occur, especially on thinner branches, and in these cases, lesions are generally concentrated on the outside of the bends. Thorns on twigs and branches may be partially incorporated into galls. Rachis, twig and branch lesions and galls bear pycnia towards their centre (Fig. 2E), seen most readily in younger galls, and a ring of aecial uredinia, or occasionally telia, develops around them as lesions and galls enlarge. The shallow conical sori on branch and rachis lesions are at first covered by a raised, shiny, dark brown layer of host cuticle, epidermis and cortical cells to 50µm","Bibulocystis gloriosa_451943_27011","teliospores","50",50,NA,NA
"teliospores also develop. No pycnia were found on leaf lesions. The infected leaf rachis, normally up to 1mm diam., is swollen to 2mm, with several small raised lesions 4-6 x 2mm. In some cases, where larger lesions up to 20mm long are present, the rachis is bent to varying degrees (Fig. 2D), or distorted into a loop (Fig. 2A). On branches, infection begins as slightly raised, brown, elliptical lesions 1.5-3 x 1-2 mm. These develop into raised, oval to elongated galls along one side of the branch, ranging from 5-15 x 3-6mm and 2mm high on thinner (2-4mm) branches, to large elongated oval galls 18-55 x 8-15mm, raised 3 (-4)mm above the general branch surface (Fig. 2 B, D, E). Considerable distortion and twisting may occur, especially on thinner branches, and in these cases, lesions are generally concentrated on the outside of the bends. Thorns on twigs and branches may be partially incorporated into galls. Rachis, twig and branch lesions and galls bear pycnia towards their centre (Fig. 2E), seen most readily in younger galls, and a ring of aecial uredinia, or occasionally telia, develops around them as lesions and galls enlarge. The shallow conical sori on branch and rachis lesions are at first covered by a raised, shiny, dark brown layer of host cuticle, epidermis and cortical cells to 50µm","Bibulocystis gloriosa_451943_27011","teliospores","50",50,NA,NA
"Teliospores (Figs 4, 5) have two fertile cells, which arise at slightly different levels, and each is subtended by a hygroscopic cyst. They are not isodiametric but flattened in one plane (Fig. 4B). In face view, with both fertile cells and both cysts visible, teliospores measure (20-) 24-35 (-37) µm","Bibulocystis gloriosa_451943_27011","Teliospores","(20-) 24-35 (-37)",29.5,NA,NA
"teliospores measure (20-) 24-35 (-37) µm","Bibulocystis gloriosa_451943_27011","teliospores","(20-) 24-35 (-37)",29.5,NA,NA
"teliospores are 18-22µm","Bibulocystis gloriosa_451943_27011","teliospores","18-22",20,NA,NA
"teliospores 2-celled, rarely 3-celled, broadly ellipsoid, 36-63 x 16-29 µm,","Gymnosporangium monticola_455565_37300","teliospores","36-63 x 16-29",49.5,22.5,NA
"teliospores 2-celled, fusiform, 31-47 x 15-23 µm,","Gymnosporangium unicorne_455566_37305","teliospores","31-47 x 15-23",39,19,NA
"Teliospores 1-4-celled, mostly 2-celled, papery, clavate or ellipsoid to broadly ellipsoid or mostly cylindrical, 14-24(-26) x (42-)56-66 (-74) µm;","Puccinia khanspurica_456147_30361","Teliospores","14-24(-26) x (42-)56-66 (-74)",24,61,NA
"teliospores cylindrical, multiseptate, 63-144-20-28µm,","Phragmidium multiseptatum_458221_31508","teliospores","63-144-20-28",82,NA,NA
"teliospores broadly (widely) cylindrical, robust, 50-106-35-45(-48)µm,","Phragmidium robustum_458222_31510","teliospores","50-106-35-45(-48)",35,NA,NA
"teliospores cylindrical or obclavate, 50-110(-115)-27-34µm,","Phragmidium tibeticum_458223_31512","teliospores","50-110(-115)-27-34",115,NA,NA
"teliospores (28-)30-37(-40) x (21-)23-26(-27) µm,","Prospodium destruens_458516_31934","teliospores","(28-)30-37(-40) x (21-)23-26(-27)",33.5,24.5,NA
"teliospores 30-35 x 22-24 µm,","Prospodium funalis_458519_31942","teliospores","30-35 x 22-24",32.5,23,NA
"teliospores 32-6 x (21-)22-26(-28) µm,","Prospodium gentryi_458520_31948","teliospores","32-6 x (21-)22-26(-28)",19,24,NA
"teliospores described.  ? Diorchidium amazonense P. Syd. & Syd., Monogr. Ured. 4:564-65. 1924.  ? Prospodium amazonense (P. Syd. & Syd.) Cummins, Lloydia 3:70. 1940.  Spermogonia amphigenous in small groups. Aecia and uredinia not produced. Telia mostly hypophyllous, associated with spermogonia along veins, cinnamon brown, pulverulent, without paraphyses; spores (33-)37-44 x (22-)24-27(-28) µm,","Prospodium haplophylli_458521_31950","teliospores","(33-)37-44 x (22-)24-27(-28)",37,25.5,NA
"teliospores (32-)34-40(-42) x 22-24(-26) µm,","Prospodium mansoae_458522_31952","teliospores","(32-)34-40(-42) x 22-24(-26)",37,24,NA
"Teliospores 33-40 x 20-24 µm,","Prospodium mexicanum_458523_31963","Teliospores","33-40 x 20-24",36.5,22,NA
"teliospores (30-)32-37 x 21-25(-26) µm,","Prospodium minasense_458524_31972","teliospores","(30-)32-37 x 21-25(-26)",32,25,NA
"teliospores 33-43 x 24-29 µm,","Prospodium tabebuiicola_458526_31981","teliospores","33-43 x 24-29",38,26.5,NA
"Teliospores ellipsoid to obovoid, rounded at both ends, sometimes diorchidioid, not or slightly constricted at the septum, (16-)19-24 x (29-)31-42(-46) µm","Puccinia silenigena_460756_32931","Teliospores","(16-)19-24 x (29-)31-42(-46)",19,36.5,NA
"teliospores ellipsoid, broadly ellipsoid or subpyriform, rarely obovoid or subglobose, 33.5-47 x 19-28 µm","Puccinia ardahanensis_460975_33238","teliospores","33.5-47 x 19-28",40.25,23.5,NA
"teliospores (3)4-celled, nearly square to rhombic, constricted at the septa, 25-29.2-32(35) µm","Sphaerophragmium xylopiae_461030_33338","teliospores","25-29.2-32(35)",30.6,NA,NA
"teliospores two-celled, diorchidioid, slightly constricted at the septa, 21-23.5-26 µm","Sphaerophragmium gerstneri_461031_33339","teliospores","21-23.5-26",23.5,NA,NA
"Teliospores 1-2 celled, ellipsoid to oblong or clavate; wall 2-3 µm","Puccinia subepidermalis_461322_33475","Teliospores","2-3",2.5,NA,NA
"Teliospores in groups, on large, laterally free cells, cylindric, (46-) 50-77-7-11 µm,","Goplana dioscoreae-alatae_463379_35602","Teliospores","(46-) 50-77-7-11",77,NA,NA
"Teliospores (25-)30-40(-47.5) x(20-)25-30(-35) µm,","Uromyces reynoldsii_466789_37458","Teliospores","(25-)30-40(-47.5) x(20-)25-30(-35)",35,27.5,NA
"teliospores 25-35 x 19-26 µm,","Uromyces cestri_467394_17610","teliospores","25-35 x 19-26",30,22.5,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Uromyces appendiculatus_467396_13973","Teliospores","28-38 x 20-36",33,28,NA
"Teliospores broadly ellipsoid, rounded at both ends, not or only slightly constricted at septum, 25-46 x 21-30 µm;","Uromyces gentianae_467405_13679","Teliospores","25-46 x 21-30",35.5,25.5,NA
"Teliospores oblong to clavate; wall 1.5-2 µm","Puccinia dichanthii_467362_38620","Teliospores","1.5-2",1.75,NA,NA
"Teliospores oblong to clavate, 11-18-40-57 µm","Puccinia sporoboli-coromandeliani_467364_38624","Teliospores","11-18-40-57",29,NA,NA
"teliospores long-cylindrical or ellipsoid, 50.9-84.6 x 15.4-32.0 µm","Coleosporium zhuangii_468279_39035","teliospores","50.9-84.6 x 15.4-32.0",67.75,23.7,NA
"teliospores or basidia arranged in a single layer, wall thin, hyaline; Basidiospores ellipsoid, 17.3-26.8 x 12.2-17.2 µm.","Coleosporium zhuangii_468279_39035","teliospores","17.3-26.8 x 12.2-17.2",22.05,14.7,NA
"teliospores two-celled, occasionally one-celled, broadly ellipsoid, not or hardly constricted at septum, rarely more conspicuously constricted, basally or more rarely laterally stalked by hyaline, thin-walled, up to 180 µm","Puccinia stobaeae_474646_43817","teliospores","180",180,NA,NA
"teliospores two-celled, occasionally one-celled, broadly ellipsoid, not or hardly constricted at septum, rarely more conspicuously constricted, basally or more rarely laterally stalked by hyaline, thin-walled, up to 180 µm","Dicaeoma stobaeae_474647_43817","teliospores","180",180,NA,NA
"Teliospores mostly twocelled, few one-celled, golden brown to chestnut brown, oblong to fusiform or ellipsoid to broadly ellipsoid, 20-24(-26) x 50-64(-70) µm;","Puccinia anaphalidis-virgatae_469541_40056","Teliospores","20-24(-26) x 50-64(-70)",24,64,NA
"Teliospores 1-3-celled, oblong to clavate, septa usually horizontal, but sometimes oblique in three-celled spores, 14-21 x (36-)44-56 µm","Puccinia helictotrichi var. pakistanica_469542_40058","Teliospores","14-21 x (36-)44-56",17.5,44,NA
"Teliospores elongated to cylindrical, 14-24 x 36-49 µm;","Puccinia helictotrichi var. pakistanica_469542_63767","Teliospores","14-24 x 36-49",19,42.5,NA
"teliospores ellipsoid to subfusiform, diorchidioid spores rare, 65-92 x 18-24 µm","Puccinia berkheyaephila_470050_40716","teliospores","65-92 x 18-24",78.5,21,NA
"Teliospores ellipsoid or broadly ellipsoid, not, hardly or slightly constricted at the septum, apex usually conical, more rarely rounded, proximal cell tapering toward hilum or more or less rounded, spores may be slightly bent at the septum, (44-)46-72 x 22.5-32.5 µm","Puccinia monsfontium_470051_40718","Teliospores","(44-)46-72 x 22.5-32.5",46,27.5,NA
"teliospores ellipsoid, broadly ellipsoid, sometimes subclavate or obovoid, hardly or slightly constricted at the septum, spore apex conical or rounded, proximal cell tapering toward pedicel or rounded, (49-)54-83 (-90) x 25-33 µm","Puccinia garstfonteinii_470052_40720","teliospores","(49-)54-83 (-90) x 25-33",68.5,29,NA
"teliospores two-celled, occasionally one-celled, broadly ellipsoid, ellipsoid or subclavate to broadly obovoid, rounded at both sides, not or hardly constricted at septum, 35-51 x 22-31 µm","Puccinia clanwilliamensis_470053_40722","teliospores","35-51 x 22-31",43,26.5,NA
"Teliospores typically 2-celled, but commonly 1-celled in some subspecies, occasionally 3-celled, clavate, short clavate to obovoid, (24-) 28-56 (-65) x (9-) 14-25 (-29) µm","Puccinia ser. Striiformis_472030_42878","Teliospores","(24-) 28-56 (-65) x (9-) 14-25 (-29)",42,19.5,NA
"Teliospores obovoid clavate, (33-) 37-50 (-56)-(12-) 14-17 µm,","Puccinia gansensis_472031_42880","Teliospores","(33-) 37-50 (-56)-(12-) 14-17",56,NA,NA
"Teliospores (Fig 1f) ellipsoid-ovoid 45-51 x 30-32 µm,","Puccinia salihae_472263_43143","Teliospores","45-51 x 30-32",48,31,NA
"teliospores forming under the epidermis, mostly loosely aggregated, often compacted laterally under the epidermis, subglobose or ellipsoid, 16.5~35.0 µm","Pucciniastrum enkianthi_474751_44188","teliospores","16.5~35.0",NA,NA,NA
"Teliospores two-celled by transverse septum, ellipsoid, constricted at the septum, 31-41 x 21-30 µm","Dasyspora segregaria_474886_44902","Teliospores","31-41 x 21-30",36,25.5,NA
"Teliospores two-celled by transverse septum, ellipsoid, slightly constricted at the septum, 35-44 x 24-30 µm","Dasyspora echinata_474887_44904","Teliospores","35-44 x 24-30",39.5,27,NA
"Teliospores twocelled by transverse septum, cylindrical to ellipsoid, not or very slightly constricted at the septum, 30-39 x 20-27 µm","Dasyspora winteri_474888_44905","Teliospores","30-39 x 20-27",34.5,23.5,NA
"Teliospores two-celled by transverse septum, more or less cylindrical, not or very slightly constricted at the septum, 28-38 x 18-25 µm","Dasyspora frutescentis_474889_44907","Teliospores","28-38 x 18-25",33,21.5,NA
"Teliospores two-celled by transverse septum, more or less cylindrical, slightly constricted at the septum, 30-36 x 21-24 µm","Dasyspora ferrugineae_474890_44909","Teliospores","30-36 x 21-24",33,22.5,NA
"Teliospores two-celled by transverse septum, more or less cylindrical, not or very slightly constricted at the septum, 29-40 x 21-28 µm","Dasyspora mesoamericana_474891_44911","Teliospores","29-40 x 21-28",34.5,24.5,NA
"Teliospores two-celled by transverse septum, more or less ellipsoid, slightly constricted at the septum, 32-38 x 25-27 µm","Dasyspora emarginatae_474893_44913","Teliospores","32-38 x 25-27",35,26,NA
"Teliospores two-celled by transverse septum, cylindrical ellipsoid, slightly constricted at the septum, 28-40 x 19.5-27 µm","Dasyspora nitidae_474894_44915","Teliospores","28-40 x 19.5-27",34,23.25,NA
"Teliospores two-celled by transverse septum, cylindrical to ellipsoid, not or very slightly constricted at the septum, 29-32 x 21.5-24 µm","Dasyspora guianensis_474895_44917","Teliospores","29-32 x 21.5-24",30.5,22.75,NA
"Teliospores two-celled by transverse septum, cylindrical to ellipsoid, not or very slightly constricted at the septum, 25-30 x 18-21 µm","Dasyspora amazonica_474896_44919","Teliospores","25-30 x 18-21",27.5,19.5,NA
"teliospores similar to uredinia and urediniospores, hyaline to white, teliospores globoid, obovoid, or ellipsoid, sometimes mixed with urediniospores, 18-21-15-18 µm,","Blastospora colombiana_475289_46827","teliospores","18-21-15-18",18,NA,NA
"teliospores globoid, obovoid, or ellipsoid, sometimes mixed with urediniospores, 18-21-15-18 µm,","Blastospora colombiana_475289_46827","teliospores","18-21-15-18",18,NA,NA
"teliospores 25-35 x 19-26 µm,","Coeomurus cestri_443381_17610","teliospores","25-35 x 19-26",30,22.5,NA
"teliospores two-celled, diorchidioid, slightly constricted at the septa, 21-23.5-26 µm","Diorchidium gerstneri_444145_33339","teliospores","21-23.5-26",23.5,NA,NA
"Teliospores usually terminal at hyphae or hyphal branchlets, usually single, (sub)globose, 7.0-14.0 µm","Sporidiobolus ruineniae_26053_18634","Teliospores","7.0-14.0",10.5,NA,NA
"Teliospores 1-celled, ellipsoid to obovoid, apex round, obtuse, to somewhat flattened, 26-45 x (14.3-)16-27(-32) µm;","Caeomurus acuminatus_449267_13452","Teliospores","26-45 x (14.3-)16-27(-32)",35.5,21.5,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Caeomurus appendiculatus_446563_13973","Teliospores","28-38 x 20-36",33,28,NA
"Teliospores ellipsoid, 20-23 x 25-29 µm,","Caeomurus caryophyllinus_448562_14005","Teliospores","20-23 x 25-29",21.5,27,NA
"teliospores with pedicels up to 80 µm","Caeomurus caryophyllinus_448562_14005","teliospores","80",80,NA,NA
"teliospores (21-25 x 16-19 µm).","Caeomurus caryophyllinus_448562_14005","teliospores","(21-25 x 16-19",23,17.5,NA
"Teliospores variable in shape, round to ovate or angular, 18-30 x 18-24 µm,","Caeomurus ciceris-arientini_447696_14003","Teliospores","18-30 x 18-24",24,21,NA
"teliospores (25,5 x 20-30 µm)","Caeomurus ciceris-arientini_447696_14003","teliospores","(25,5 x 20-30",25.5,25,NA
"teliospores and teliospore pedicels whose apical parts swell noticeably in fluids (Fig. 19 ). The host plant could not be determined to the species but probably belongs to sections Jussieua or Vitifoliae of Jatropha subgen. Cnidoscolus. As far as the author knows, only the teliospores of the rust have been described so far. The Argentine specimen also revealed spermogonia, aecia, and uredinia. Uromyces cnidoscoli is thus an autoecious macrocyclic species. Unfortunately, most of the aecia were old or heavily parasitised by Tuberculina sp. Therefore, the description of the aecia and aeciospores is provisional: Aecia aecidioid, in small, dense groups abaxially or adaxially on leaves, more rarely on stalks and fruit capsules, on brownish spots of the host tissue that later become necrotic, with frail white short peridium that hardly emerges from the aecidial cavity, aeciospores catenulate, broadly ellipsoidal to subglobose, often slightly angular, 23-31 x 18-24 µm,","Caeomurus cnidoscoli_448316_17357","teliospores","23-31 x 18-24",27,21,NA
